variant_select,variant_simulation,variant_backprop,variant_finalmove,winrate,moveTime,maxMoves,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
UCB1 tuned,Random,Score Bounded,Robust,0.3333333333333333,0.5,1000,2,41,44,84,3,1,11,11,4,127,6.24,1.76,3.51,0,0,0,0,0,0,0,0,1,1,0,,,,,
UCB1 GRAVE,Random,MonteCarlo,Proportional Exp,0.1,0.5,1000,2,64,81,144,2,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive History,NST,MonteCarlo,Robust,0.9666666666666667,0.5,1000,2,49,64,112,4,1,7,7,4,49,6.37,3.43,2.94,1,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 tuned,NST,Implicit Minimax,Proportional Exp,0.2,0.5,1000,2,81,100,180,2,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 tuned,MAST,Score Bounded,MaxAvgScore,0.6666666666666666,0.5,1000,2,144,169,312,2,1,13,13,4,169,7.1,3.69,3.41,0,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1 GRAVE,NST,Score Bounded,MaxAvgScore,0.3,0.5,1000,2,81,100,180,11,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive History,Random,Score Bounded,Proportional Exp,0.3333333333333333,0.5,1000,2,64,81,144,4,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive History,MAST,Implicit Minimax,MaxAvgScore,0.16666666666666666,0.5,1000,2,36,49,84,4,2,6,6,4,40,6.11,3.33,2.78,0,0,1,0,0,0,0,0,0,1,0,,,,,
McBRAVE,MAST,MonteCarlo,Proportional Exp,0.26666666666666666,0.5,1000,2,36,49,84,2,1,6,6,4,38,6.11,3.33,2.78,0,0,0,0,0,0,0,0,0,1,0,,,,,
McGRAVE,MAST,Score Bounded,Robust,0.03333333333333333,0.5,1000,2,81,100,180,2,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,0,0,1,0,,,,,
McBRAVE,Random,Implicit Minimax,Robust,0.2,0.5,1000,2,63,80,142,16,1,9,7,4,63,6.54,3.49,3.05,0,0,0,0,0,0,0,0,0,1,0,,,,,
McGRAVE,Random,MonteCarlo,MaxAvgScore,0.06666666666666667,0.5,1000,2,25,36,60,4,1,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Widening,NST,MonteCarlo,Robust,0.7666666666666667,0.5,1000,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
McBRAVE,NST,Score Bounded,MaxAvgScore,0.0,0.5,1000,2,49,64,112,9,2,7,7,4,51,6.37,3.43,2.94,1,0,0,0,0,0,0,0,0,1,0,,,,,
McGRAVE,NST,Implicit Minimax,Proportional Exp,0.03333333333333333,0.5,1000,2,56,72,127,2,1,7,8,4,56,6.46,3.46,3.0,1,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 GRAVE,NST,Implicit Minimax,Proportional Exp,0.0,0.5,1000,2,144,169,312,2,1,13,13,4,169,7.1,3.69,3.41,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive Widening,Random,Score Bounded,Proportional Exp,0.4666666666666667,0.5,1000,2,25,36,60,3,1,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Widening,MAST,Implicit Minimax,MaxAvgScore,0.13333333333333333,0.5,1000,2,14,30,96,2,1,4,4,4,32,8.27,6.4,1.87,0,0,0,0,0,0,0,1,0,1,0,,,,,
Alpha-Beta,MAST,MonteCarlo,Proportional Exp,0.36666666666666664,0.5,1000,2,81,100,180,3,1,9,9,4,263,6.72,3.56,3.16,0,0,0,0,0,0,0,0,1,1,0,,,,,
Implicit Minimax,MAST,Score Bounded,Robust,0.9666666666666667,0.5,1000,2,64,81,144,12,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
Implicit Minimax,NST,MonteCarlo,MaxAvgScore,0.26666666666666666,0.5,1000,2,25,36,60,6,2,5,5,4,27,5.76,3.2,2.56,1,0,0,0,0,0,0,0,0,1,0,,,,,
Alpha-Beta,Random,Implicit Minimax,Robust,0.26666666666666666,0.5,1000,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,0,0,1,0,0,0,0,0,0,1,0,,,,,
Implicit Minimax,Random,Implicit Minimax,MaxAvgScore,0.16666666666666666,0.5,1000,2,32,45,76,2,1,7,7,8,45,6.22,3.38,2.84,0,0,0,0,0,0,0,1,0,0,0,,,,,
Alpha-Beta,NST,Score Bounded,Robust,0.3333333333333333,0.5,1000,2,36,49,84,2,1,6,6,4,36,6.11,3.33,2.78,1,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1,Random,MonteCarlo,MaxAvgScore,0.43333333333333335,0.5,1000,2,64,160,223,2,1,8,8,4,64,9.19,5.03,4.16,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1,MAST,Score Bounded,Proportional Exp,0.9333333333333333,0.5,1000,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive History,Random,Score Bounded,Proportional Exp,0.3333333333333333,0.5,1000,2,36,31,66,2,1,7,5,7,31,4.52,4.26,0.26,0,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1,NST,Implicit Minimax,Robust,0.8,0.5,1000,2,36,57,96,2,1,8,8,12,36,5.0,2.67,2.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 tuned,MAST,MonteCarlo,Robust,1.0,0.5,1000,2,36,49,84,2,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 GRAVE,NST,MonteCarlo,Proportional Exp,0.0,0.5,1000,2,49,64,112,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1 tuned,Random,Score Bounded,MaxAvgScore,0.3,0.5,1000,2,49,64,112,2,1,7,7,4,49,6.37,3.43,2.94,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 GRAVE,MAST,Implicit Minimax,MaxAvgScore,0.16666666666666666,0.5,1000,2,14,30,96,2,1,4,4,4,30,8.27,6.4,1.87,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive History,Random,Implicit Minimax,Proportional Exp,0.06666666666666667,0.5,1000,2,21,32,52,1,1,4,8,4,55,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1 tuned,NST,Implicit Minimax,Proportional Exp,0.1,0.5,1000,2,21,32,52,1,1,4,8,4,55,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1 GRAVE,Random,Score Bounded,Robust,0.0,0.5,1000,2,21,32,52,1,1,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive History,MAST,MonteCarlo,Robust,0.5,0.5,1000,2,21,32,52,1,1,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive History,NST,Score Bounded,MaxAvgScore,0.5333333333333333,0.5,1000,2,21,32,52,1,1,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive History,MAST,Implicit Minimax,Robust,0.5,0.5,1000,2,40,33,72,2,1,7,7,16,33,4.36,4.36,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
McBRAVE,Random,MonteCarlo,Proportional Exp,0.13333333333333333,0.5,1000,2,45,64,108,1,1,4,16,4,111,6.19,3.38,2.81,0,0,0,0,1,0,0,1,0,1,0,,,,,
McGRAVE,MAST,Score Bounded,Proportional Exp,0.5,0.5,1000,2,45,64,108,2,1,4,16,4,110,6.19,3.38,2.81,0,0,0,0,1,0,0,1,0,1,0,,,,,
McBRAVE,MAST,Implicit Minimax,Robust,0.13333333333333333,0.5,1000,2,18,28,45,1,2,4,7,4,30,5.79,3.21,2.57,0,0,0,0,1,0,0,1,0,1,0,,,,,
McGRAVE,NST,MonteCarlo,Robust,0.0,0.5,1000,2,21,32,52,1,2,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
Progressive Widening,MAST,MonteCarlo,MaxAvgScore,0.5,0.5,1000,2,21,32,52,1,2,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
McBRAVE,NST,Score Bounded,MaxAvgScore,0.03333333333333333,0.5,1000,2,18,28,45,1,1,4,7,4,48,5.79,3.21,2.57,0,0,0,0,1,0,0,1,0,1,0,,,,,
McGRAVE,Random,Implicit Minimax,MaxAvgScore,0.0,0.5,1000,2,33,48,80,1,1,4,12,4,83,6.08,3.33,2.75,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive Widening,Random,Score Bounded,Robust,0.23333333333333334,0.5,1000,2,45,64,108,1,3,4,16,4,66,6.19,3.38,2.81,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive Widening,NST,Implicit Minimax,Proportional Exp,0.0,0.5,1000,2,21,32,52,1,4,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
Alpha-Beta,Random,MonteCarlo,Proportional Exp,0.06666666666666667,0.5,1000,2,21,32,52,1,2,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive History,NST,MonteCarlo,MaxAvgScore,0.23333333333333334,0.5,1000,2,40,37,76,2,2,9,5,10,78,4.54,4.11,0.43,1,0,0,0,0,0,0,1,0,1,0,,,,,
Implicit Minimax,MAST,Score Bounded,Proportional Exp,0.0,0.5,1000,2,21,32,52,1,5,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
Implicit Minimax,NST,MonteCarlo,Robust,0.3,0.5,1000,2,21,32,52,1,1,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
Alpha-Beta,MAST,MonteCarlo,MaxAvgScore,0.0,0.5,1000,2,21,32,52,1,1,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
Implicit Minimax,MAST,Implicit Minimax,Robust,0.43333333333333335,0.5,1000,2,15,24,38,1,1,4,6,4,24,5.67,3.17,2.5,0,0,0,0,1,0,0,1,0,0,0,,,,,
Alpha-Beta,Random,Score Bounded,Robust,0.0,0.5,1000,2,21,32,52,1,1,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1,Random,MonteCarlo,MaxAvgScore,0.5333333333333333,0.5,1000,2,18,28,45,1,1,4,7,4,28,5.79,3.21,2.57,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1,MAST,Score Bounded,Proportional Exp,0.23333333333333334,0.5,1000,2,21,32,52,1,1,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1,NST,Implicit Minimax,Robust,0.0,0.5,1000,2,21,32,52,1,2,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1 tuned,Random,Implicit Minimax,Proportional Exp,0.03333333333333333,0.5,1000,2,21,32,52,1,1,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1 tuned,NST,Score Bounded,MaxAvgScore,0.16666666666666666,0.5,1000,2,27,40,66,1,2,4,10,4,40,6.0,3.3,2.7,0,0,0,0,1,0,0,1,0,0,0,,,,,
McBRAVE,Random,Implicit Minimax,MaxAvgScore,0.4666666666666667,0.5,1000,2,32,25,56,2,1,5,5,4,25,4.48,4.48,0.0,1,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1 GRAVE,MAST,Implicit Minimax,MaxAvgScore,0.13333333333333333,0.5,1000,2,21,32,52,1,3,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1 GRAVE,NST,MonteCarlo,Proportional Exp,0.03333333333333333,0.5,1000,2,45,64,108,1,1,4,16,4,111,6.19,3.38,2.81,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1 tuned,MAST,MonteCarlo,Robust,0.5333333333333333,0.5,1000,2,21,32,52,1,2,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1 GRAVE,Random,Score Bounded,Robust,0.06666666666666667,0.5,1000,2,21,32,52,1,2,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
Progressive History,Random,MonteCarlo,MaxAvgScore,0.4,0.5,1000,2,33,48,80,1,1,4,12,4,83,6.08,3.33,2.75,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive History,MAST,Score Bounded,Proportional Exp,0.4666666666666667,0.5,1000,2,27,40,66,1,1,4,10,4,40,6.0,3.3,2.7,0,0,0,0,1,0,0,1,0,0,0,,,,,
Progressive History,NST,Implicit Minimax,Robust,0.3,0.5,1000,2,27,40,66,1,1,4,10,4,40,6.0,3.3,2.7,0,0,0,0,1,0,0,1,0,0,0,,,,,
McBRAVE,Random,Implicit Minimax,Proportional Exp,0.0,0.5,1000,2,21,32,52,1,1,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
McBRAVE,NST,Score Bounded,MaxAvgScore,0.0,0.5,1000,2,15,24,38,1,2,4,6,4,41,5.67,3.17,2.5,0,0,0,0,1,0,0,1,0,1,0,,,,,
McGRAVE,MAST,Implicit Minimax,MaxAvgScore,0.0,0.5,1000,2,15,24,38,1,1,4,6,4,24,5.67,3.17,2.5,0,0,0,0,1,0,0,1,0,0,0,,,,,
McBRAVE,MAST,MonteCarlo,Proportional Exp,0.4666666666666667,0.5,1000,2,24,25,48,2,1,5,5,4,25,5.12,3.84,1.28,1,0,0,0,0,0,0,1,0,0,0,,,,,
McGRAVE,NST,MonteCarlo,Proportional Exp,0.0,0.5,1000,2,21,32,52,1,2,4,8,4,55,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
McBRAVE,MAST,MonteCarlo,Robust,0.06666666666666667,0.5,1000,2,21,32,52,1,2,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
McGRAVE,Random,Score Bounded,Robust,0.06666666666666667,0.5,1000,2,21,32,52,1,2,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive Widening,Random,MonteCarlo,MaxAvgScore,0.5333333333333333,0.5,1000,2,18,28,45,1,2,4,7,4,30,5.79,3.21,2.57,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive Widening,MAST,Score Bounded,Proportional Exp,0.5,0.5,1000,2,12,20,31,1,1,4,5,4,34,5.5,3.1,2.4,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive Widening,NST,Implicit Minimax,Robust,0.2,0.5,1000,2,15,24,38,1,6,4,6,4,24,5.67,3.17,2.5,0,0,0,0,1,0,0,1,0,0,0,,,,,
Implicit Minimax,Random,Implicit Minimax,Proportional Exp,0.0,0.5,1000,2,24,36,59,1,1,4,9,4,36,5.94,3.28,2.67,0,0,0,0,1,0,0,1,0,0,0,,,,,
Alpha-Beta,MAST,Implicit Minimax,MaxAvgScore,0.5,0.5,1000,2,18,28,45,2,1,4,7,4,28,5.79,3.21,2.57,0,0,0,0,1,0,0,1,0,0,0,,,,,
Implicit Minimax,NST,MonteCarlo,MaxAvgScore,0.4,0.5,1000,2,21,32,52,1,4,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
Alpha-Beta,NST,Score Bounded,Proportional Exp,0.03333333333333333,0.5,1000,2,21,32,52,1,1,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
McBRAVE,NST,Score Bounded,Robust,0.36666666666666664,0.5,1000,2,32,25,56,2,2,5,5,4,26,4.48,4.48,0.0,1,0,0,0,0,0,0,1,0,1,0,,,,,
UCB1,Random,MonteCarlo,Proportional Exp,0.13333333333333333,0.5,1000,2,21,32,52,1,3,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1,MAST,Score Bounded,MaxAvgScore,0.3,0.5,1000,2,27,40,66,1,1,4,10,4,40,6.0,3.3,2.7,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1,NST,Implicit Minimax,Robust,0.26666666666666666,0.5,1000,2,21,32,52,1,2,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1 tuned,Random,Score Bounded,Robust,0.5333333333333333,0.5,1000,2,21,32,52,1,4,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1 tuned,MAST,MonteCarlo,Proportional Exp,0.3,0.5,1000,2,33,48,80,1,1,4,12,4,83,6.08,3.33,2.75,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1 GRAVE,Random,Implicit Minimax,MaxAvgScore,0.3333333333333333,0.5,1000,2,21,32,52,1,2,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
Progressive History,NST,Score Bounded,MaxAvgScore,0.0,0.5,1000,2,15,24,38,1,4,4,6,4,41,5.67,3.17,2.5,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1 GRAVE,MAST,MonteCarlo,Robust,0.0,0.5,1000,2,18,28,45,1,3,4,7,4,30,5.79,3.21,2.57,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive History,MAST,Implicit Minimax,Proportional Exp,0.0,0.5,1000,2,21,32,52,1,4,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
McBRAVE,NST,MonteCarlo,Proportional Exp,0.0,0.5,1000,2,27,40,66,1,2,4,10,4,40,6.0,3.3,2.7,0,0,0,0,1,0,0,1,0,0,0,,,,,
McGRAVE,Random,Score Bounded,Proportional Exp,0.16666666666666666,0.5,1000,2,32,25,56,2,2,5,5,4,58,4.48,4.48,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
UCB1 tuned,NST,Implicit Minimax,MaxAvgScore,0.13333333333333333,0.5,1000,2,21,32,52,1,1,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1 GRAVE,NST,Score Bounded,Proportional Exp,0.0,0.5,1000,2,18,36,48,1,3,4,11,12,36,4.67,2.67,2.0,0,0,0,0,1,0,0,1,0,0,0,,,,,
Progressive History,Random,MonteCarlo,Robust,0.4,0.5,1000,2,9,16,24,1,1,4,4,4,18,5.25,3.0,2.25,0,0,0,0,1,0,0,1,0,1,0,,,,,
McBRAVE,Random,Score Bounded,MaxAvgScore,0.0,0.5,1000,2,21,32,52,1,1,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
McBRAVE,MAST,Implicit Minimax,Robust,0.0,0.5,1000,2,36,52,87,1,2,4,13,4,54,6.12,3.35,2.77,0,0,0,0,1,0,0,1,0,1,0,,,,,
McGRAVE,Random,Implicit Minimax,Proportional Exp,0.0,0.5,1000,2,21,32,52,1,1,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
McGRAVE,MAST,MonteCarlo,MaxAvgScore,0.03333333333333333,0.5,1000,2,21,32,52,1,1,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
McGRAVE,NST,Score Bounded,Robust,0.0,0.5,1000,2,0,10,10,1,1,4,4,10,12,2.0,2.0,0.0,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive Widening,MAST,Score Bounded,Robust,0.5,0.5,1000,2,25,36,60,1,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,1,0,0,1,0,0,0,,,,,
Progressive Widening,NST,MonteCarlo,MaxAvgScore,0.16666666666666666,0.5,1000,2,13,36,42,1,1,3,20,16,36,3.78,2.33,1.44,0,0,0,0,1,0,0,1,0,0,0,,,,,
McGRAVE,MAST,Implicit Minimax,Robust,0.0,0.5,1000,2,2,10,12,2,1,4,3,2,10,2.4,2.4,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive Widening,Random,Implicit Minimax,Proportional Exp,0.06666666666666667,0.5,1000,2,0,14,10,1,1,4,4,10,14,1.43,1.43,0.0,0,0,0,0,1,0,0,1,0,0,0,,,,,
Implicit Minimax,Random,MonteCarlo,Robust,0.5,0.5,1000,2,0,7,7,1,1,4,7,7,9,2.0,2.0,0.0,0,0,0,0,1,0,0,1,0,1,0,,,,,
Implicit Minimax,MAST,Score Bounded,MaxAvgScore,0.3333333333333333,0.5,1000,2,10,18,27,1,1,3,6,4,30,5.22,3.0,2.22,0,0,0,0,1,0,0,1,0,1,0,,,,,
Alpha-Beta,NST,MonteCarlo,Proportional Exp,0.0,0.5,1000,2,10,18,27,1,2,3,6,4,30,5.22,3.0,2.22,0,0,0,0,1,0,0,1,0,1,0,,,,,
Implicit Minimax,NST,Implicit Minimax,Robust,0.0,0.5,1000,2,10,18,27,1,2,3,6,4,30,5.22,3.0,2.22,0,0,0,0,1,0,0,1,0,1,0,,,,,
Alpha-Beta,Random,Score Bounded,MaxAvgScore,0.0,0.5,1000,2,10,18,27,1,2,3,6,4,30,5.22,3.0,2.22,0,0,0,0,1,0,0,1,0,1,0,,,,,
Alpha-Beta,MAST,Implicit Minimax,Robust,0.0,0.5,1000,2,10,18,27,1,2,3,6,4,30,5.22,3.0,2.22,0,0,0,0,1,0,0,1,0,1,0,,,,,
Implicit Minimax,MAST,Score Bounded,Proportional Exp,0.0,0.5,1000,2,10,18,27,1,1,3,6,4,20,5.22,3.0,2.22,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1,Random,Implicit Minimax,MaxAvgScore,0.06666666666666667,0.5,1000,2,6,12,17,1,1,3,4,4,12,4.83,2.83,2.0,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1,MAST,MonteCarlo,Proportional Exp,0.03333333333333333,0.5,1000,2,7,14,20,1,2,2,8,2,14,4.29,2.86,1.43,0,0,0,0,1,0,0,1,0,0,0,,,,,
McGRAVE,NST,MonteCarlo,MaxAvgScore,0.3333333333333333,0.5,1000,2,40,35,74,2,2,9,5,9,76,4.46,4.23,0.23,0,0,0,0,0,0,0,1,0,1,0,,,,,
UCB1,NST,Score Bounded,Robust,0.7,0.5,1000,2,7,14,20,1,1,2,8,2,21,4.29,2.86,1.43,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1 tuned,Random,MonteCarlo,Robust,0.4,0.5,1000,2,4,10,13,1,2,2,5,4,16,4.2,2.6,1.6,0,0,0,0,1,0,0,1,0,1,0,,,,,
