job_base,game,variant,variant_select,variant_simulation,variant_backprop,variant_finalmove,wins,games,winrate,avgMoves,moveTime,gamesPerMatchup,maxMoves,cpus,mem,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
planned_T944_5919276,Let's Catch the Lion,Implicit Minimax | MAST | Implicit Minimax | Proportional Exp,Implicit Minimax,MAST,Implicit Minimax,Proportional Exp,2,30,0.06666666666666667,23.6,0.5,30,1000,4,7G,2,12,20,31,10,1,4,3,4,18,4.83,2.83,2.0,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T945_5919277,Lielow,Alpha-Beta | NST | Score Bounded | Proportional Exp,Alpha-Beta,NST,Score Bounded,Proportional Exp,5,30,0.16666666666666666,13.1,0.5,30,1000,5,7G,2,100,121,220,2,1,10,10,4,100,6.84,3.6,3.24,1,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T946_5919278,Monkey Queen,Implicit Minimax | NST | MonteCarlo | Robust,Implicit Minimax,NST,MonteCarlo,Robust,14,30,0.4666666666666667,4.9,0.5,30,1000,5,7G,2,144,169,312,2,1,12,12,4,144,7.03,3.67,3.36,1,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T947_5919279,Ploy,Alpha-Beta | MAST | MonteCarlo | MaxAvgScore,Alpha-Beta,MAST,MonteCarlo,MaxAvgScore,21,30,0.7,68.8,0.5,30,1000,4,7G,2,64,81,144,16,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T948_5919280,Rithmomachia,UCB1 | Random | MonteCarlo | Proportional Exp,UCB1,Random,MonteCarlo,Proportional Exp,1,30,0.03333333333333333,990.0,0.5,30,1000,5,7G,2,128,153,280,6,1,16,8,4,128,6.91,3.62,3.28,1,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T949_5919281,Vanguard,UCB1 | MAST | Score Bounded | Robust,UCB1,MAST,Score Bounded,Robust,11,30,0.36666666666666664,23.8,0.5,30,1000,4,7G,2,40,115,145,10,1,8,9,14,40,8.7,4.75,3.95,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T94_5918426,Mughrabieh,Progressive History | Random | Score Bounded | MaxAvgScore,Progressive History,Random,Score Bounded,MaxAvgScore,2,30,0.06666666666666667,978.6,0.5,30,1000,4,7G,2,12,26,37,4,1,2,13,4,28,4.69,2.85,1.85,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T950_5919282,Clobber,UCB1 | NST | Implicit Minimax | MaxAvgScore,UCB1,NST,Implicit Minimax,MaxAvgScore,12,30,0.4,69.2,0.5,30,1000,4,7G,2,100,121,220,2,1,10,10,4,100,6.84,3.6,3.24,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T951_5919283,Press Ups,UCB1 tuned | Random | Score Bounded | MaxAvgScore,UCB1 tuned,Random,Score Bounded,MaxAvgScore,3,30,0.1,34.8,0.5,30,1000,4,7G,2,49,64,112,3,2,7,7,4,49,6.37,3.43,2.94,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T952_5919284,Workers and Soldiers,UCB1 tuned | MAST | Implicit Minimax | Proportional Exp,UCB1 tuned,MAST,Implicit Minimax,Proportional Exp,3,30,0.1,731.6,0.5,30,1000,4,7G,2,75,181,255,6,4,10,10,6,79,9.68,5.2,4.48,0,0,0,0,0,0,0,0,0,1,0,,,,,
