job,out_file,err_file,out_exists,err_exists,out_size_bytes,err_size_bytes,parse_ok,has_game,has_variant,has_wins,has_total,diagnostic_reason,n_timeouts,game,variant,wins,completed,total_expected,losses,draws,failures,avgMoves,moveTime,maxMoves
planned_T1080_6071920,planned_T1080_6071920.out,planned_T1080_6071920.err,True,True,267,222,False,True,True,False,False,started_no_result_summary,0,Vela,UCB1 | Random | Implicit Minimax | Robust,,,,,,,,2.0,1000
planned_T1081_6071921,planned_T1081_6071921.out,planned_T1081_6071921.err,True,True,268,222,False,True,True,False,False,started_no_result_summary,0,Tides,UCB1 GRAVE | Random | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T1082_6071922,planned_T1082_6071922.out,planned_T1082_6071922.err,True,True,267,222,False,True,True,False,False,started_no_result_summary,0,Squadro,UCB1 | Heuristic | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1083_6071923,planned_T1083_6071923.out,planned_T1083_6071923.err,True,True,272,222,False,True,True,False,False,started_no_result_summary,0,Bravalath,UCB1 tuned | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1084_6071924,planned_T1084_6071924.out,planned_T1084_6071924.err,True,True,270,222,False,True,True,False,False,started_no_result_summary,0,Tai Shogi,McBRAVE | Random | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1085_6071925,planned_T1085_6071925.out,planned_T1085_6071925.err,True,True,266,222,False,True,True,False,False,started_no_result_summary,0,Ilpion,UCB1 | PlayoutHS | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T1086_6071926,planned_T1086_6071926.out,planned_T1086_6071926.err,True,True,283,222,False,True,True,False,False,started_no_result_summary,0,Upper Hand,Progressive Widening | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1087_6071927,planned_T1087_6071927.out,planned_T1087_6071927.err,True,True,270,222,False,True,True,False,False,started_no_result_summary,0,RootZone,Noisy AG0 | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1088_6071928,planned_T1088_6071928.out,planned_T1088_6071928.err,True,True,260,222,False,True,True,False,False,started_no_result_summary,0,Sim,UCB1 | Random | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1089_6071929,planned_T1089_6071929.out,planned_T1089_6071929.err,True,True,267,222,False,True,True,False,False,started_no_result_summary,0,Otep,UCB1 GRAVE | Random | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T108_6070948,planned_T108_6070948.out,planned_T108_6070948.err,True,True,385,0,True,True,True,True,True,complete,0,Phantom Go,UCB1 | Random | MonteCarlo | Proportional Exp,0.0,30.0,30.0,0.0,30.0,0.0,1000.0,2.0,1000
planned_T1090_6071930,planned_T1090_6071930.out,planned_T1090_6071930.err,True,True,281,222,False,True,True,False,False,started_no_result_summary,0,Shakhmaty (Early Modern),ExIt | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1091_6071931,planned_T1091_6071931.out,planned_T1091_6071931.err,True,True,278,222,False,True,True,False,False,started_no_result_summary,0,Tavli,Progressive Widening | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1092_6071932,planned_T1092_6071932.out,planned_T1092_6071932.err,True,True,267,222,False,True,True,False,False,started_no_result_summary,0,Triple Tangle,UCB1 | Random | AlphaGo | Robust,,,,,,,,2.0,1000
planned_T1093_6071933,planned_T1093_6071933.out,planned_T1093_6071933.err,True,True,274,222,False,True,True,False,False,started_no_result_summary,0,Fox and Geese,UCB1 | HS Playout | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T1094_6071934,planned_T1094_6071934.out,planned_T1094_6071934.err,True,True,261,222,False,True,True,False,False,started_no_result_summary,0,Jungle,UCB1 | MAST | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1095_6071935,planned_T1095_6071935.out,planned_T1095_6071935.err,True,True,274,222,False,True,True,False,False,started_no_result_summary,0,Khutka Boia,UCB1 tuned | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1096_6071936,planned_T1096_6071936.out,planned_T1096_6071936.err,True,True,271,222,False,True,True,False,False,started_no_result_summary,0,Deka,UCB1 | Random | MonteCarlo | Proportional Exp,,,,,,,,2.0,1000
planned_T1097_6071937,planned_T1097_6071937.out,planned_T1097_6071937.err,True,True,281,222,False,True,True,False,False,started_no_result_summary,0,Rimau-Rimau (One Tiger),UCB1 | Random | Qualitative | Robust,,,,,,,,0.2,1000
planned_T1098_6071938,planned_T1098_6071938.out,planned_T1098_6071938.err,True,True,265,222,False,True,True,False,False,started_no_result_summary,0,Driesticken,UCB1 | Random | AlphaGo | Robust,,,,,,,,0.5,1000
planned_T1099_6071939,planned_T1099_6071939.out,planned_T1099_6071939.err,True,True,272,222,False,True,True,False,False,started_no_result_summary,0,Gurgaldaj,UCB1 GRAVE | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T109_6070949,planned_T109_6070949.out,planned_T109_6070949.err,True,True,370,0,True,True,True,True,True,complete,0,Crossline,UCB1 | HS Playout | MonteCarlo | Robust,1.0,30.0,30.0,1.0,28.0,0.0,956.6,0.2,1000
planned_T10_6070850,planned_T10_6070850.out,planned_T10_6070850.err,True,True,370,0,True,True,True,True,True,complete,0,Kriegsspiel,ExIt | Random | MonteCarlo | Robust,0.0,30.0,30.0,0.0,30.0,0.0,1000.0,0.5,1000
planned_T1100_6071940,planned_T1100_6071940.out,planned_T1100_6071940.err,True,True,260,222,False,True,True,False,False,started_no_result_summary,0,Plotto,UCB1 | NST | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1101_6071941,planned_T1101_6071941.out,planned_T1101_6071941.err,True,True,265,222,False,True,True,False,False,started_no_result_summary,0,Bagh Guti,UCB1 | Random | Heuristic | Robust,,,,,,,,0.2,1000
planned_T1102_6071942,planned_T1102_6071942.out,planned_T1102_6071942.err,True,True,268,222,False,True,True,False,False,started_no_result_summary,0,Atoll,UCB1 GRAVE | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1103_6071943,planned_T1103_6071943.out,planned_T1103_6071943.err,True,True,268,222,False,True,True,False,False,started_no_result_summary,0,Ciri Amber,UCB1 | Random | Qualitative | Robust,,,,,,,,1.0,1000
planned_T1104_6071944,planned_T1104_6071944.out,planned_T1104_6071944.err,True,True,260,222,False,True,True,False,False,started_no_result_summary,0,Omny,AG0 | Random | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1105_6071945,planned_T1105_6071945.out,planned_T1105_6071945.err,True,True,267,222,False,True,True,False,False,started_no_result_summary,0,Shogi,Noisy AG0 | Random | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T1106_6071946,planned_T1106_6071946.out,planned_T1106_6071946.err,True,True,263,222,False,True,True,False,False,started_no_result_summary,0,Cavity,UCB1 | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1107_6071947,planned_T1107_6071947.out,planned_T1107_6071947.err,True,True,260,222,False,True,True,False,False,started_no_result_summary,0,Janggi,UCB1 | NST | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1108_6071948,planned_T1108_6071948.out,planned_T1108_6071948.err,True,True,279,222,False,True,True,False,False,started_no_result_summary,0,Kolowis Awithlaknannai,UCB1 | Random | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1109_6071949,planned_T1109_6071949.out,planned_T1109_6071949.err,True,True,271,222,False,True,True,False,False,started_no_result_summary,0,Dablot Prejjesne,UCB1 | MAST | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T110_6070950,planned_T110_6070950.out,planned_T110_6070950.err,True,True,363,0,True,True,True,True,True,complete,0,Nim,McBRAVE | Random | MonteCarlo | Robust,15.0,30.0,30.0,14.0,1.0,0.0,196.8,0.5,1000
