job_base,game,variant,variant_select,variant_simulation,variant_backprop,variant_finalmove,wins,games,winrate,avgMoves,moveTime,gamesPerMatchup,maxMoves,cpus,mem,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
planned_T1270_5801079,Mig Mang,UCB1 GRAVE | NST | AlphaGo | Proportional Exp,UCB1 GRAVE,NST,AlphaGo,Proportional Exp,0,10,0.0,360.1,0.2,10,1000,5,7G,2,256,289,544,2,1,17,17,4,289,7.31,3.76,3.54,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1271_5801080,Gomoku,UCB1 tuned | MAST | AlphaGo | MaxAvgScore,UCB1 tuned,MAST,AlphaGo,MaxAvgScore,10,10,1.0,39.5,0.2,10,1000,5,7G,2,196,225,420,2,1,15,15,4,225,7.22,3.73,3.48,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1273_5801082,Satoel,UCB1 GRAVE | Random | Implicit Minimax | Robust,UCB1 GRAVE,Random,Implicit Minimax,Robust,6,10,0.6,895.8,0.2,10,1000,4,7G,2,136,93,228,2,1,13,9,10,93,5.08,4.9,0.17,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1274_5801083,Cashlan Gherra,UCB1 | MAST | Implicit Minimax | MaxAvgScore,UCB1,MAST,Implicit Minimax,MaxAvgScore,0,10,0.0,740.2,0.2,10,1000,4,7G,2,8,9,16,2,2,3,3,4,19,3.56,3.56,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T1276_5801085,Renard et les Poules,McGRAVE | NST | Score Bounded | Proportional Exp,McGRAVE,NST,Score Bounded,Proportional Exp,2,10,0.2,343.3,0.2,10,1000,4,7G,2,40,33,72,2,2,7,7,16,34,4.36,4.36,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T1277_5801086,Satoel,Implicit Minimax | MAST | Heuristic | MaxAvgScore,Implicit Minimax,MAST,Heuristic,MaxAvgScore,0,10,0.0,1000.0,0.2,10,1000,4,7G,2,136,93,228,2,1,13,9,10,93,5.08,4.9,0.17,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1278_5801087,Smasandyutakankarikrida,McBRAVE | Random | Heuristic | Robust,McBRAVE,Random,Heuristic,Robust,0,10,0.0,621.1,0.2,10,1000,4,7G,2,48,49,96,2,1,13,9,10,49,4.9,3.92,0.98,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1279_5801088,Round Merels,UCB1 GRAVE | MAST | Score Bounded | MaxAvgScore,UCB1 GRAVE,MAST,Score Bounded,MaxAvgScore,0,10,0.0,665.1,0.2,10,1000,4,7G,2,0,9,16,2,2,3,3,8,11,3.56,3.56,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T127_5799936,Bagh Guti,UCB1 tuned | MAST | Implicit Minimax | MaxAvgScore,UCB1 tuned,MAST,Implicit Minimax,MaxAvgScore,5,10,0.5,207.7,0.2,10,1000,5,7G,2,24,25,48,2,1,5,5,4,25,5.12,3.84,1.28,1,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1280_5801089,Bay Khom,Alpha-Beta | NST | MonteCarlo | Proportional Exp,Alpha-Beta,NST,MonteCarlo,Proportional Exp,2,10,0.2,93.7,0.2,10,1000,4,7G,2,5,10,14,1,2,2,6,2,17,4.0,2.8,1.2,0,0,0,0,1,0,0,1,0,1,0,,,,,
