variant_select,variant_simulation,variant_backprop,variant_finalmove,winrate,drawrate,score,n_timeouts,moveTime,maxMoves,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
Progressive History,MAST,MonteCarlo,Robust,0.42,0.01,0.425,0,0.2,2000,2,64,81,144,2,2,9,9,4,147,6.72,3.56,3.16,0,0,0,0,0,0,0,1,0,1,0,,,,,
Noisy AG0,MAST,Score Bounded,Proportional Exp,0.12,0.01,0.125,0,0.5,2000,2,97,63,159,2,2,10,10,12,63,5.05,5.05,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1 tuned,Random,Score Bounded,Robust,0.61,0.0,0.61,0,1.0,2000,2,36,49,84,4,2,6,6,4,40,6.11,3.33,2.78,0,0,1,0,0,0,0,0,0,1,0,,,,,
Progressive Bias,Random,MonteCarlo,Proportional Exp,0.0,0.0,0.0,0,0.5,2000,2,25,36,60,2,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,1,0,0,1,0,0,0,,,,,
ExIt,NST,AlphaGo,MaxAvgScore,0.0,0.0,0.0,0,1.0,2000,2,25,36,60,2,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,1,0,0,1,0,0,0,,,,,
McBRAVE,Heuristic,Qualitative,MaxAvgScore,0.0,0.0,0.0,0,2.0,2000,2,25,36,60,1,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1 tuned,Heuristic Sampling,Score Bounded,Proportional Exp,0.01,0.0,0.01,0,0.2,2000,2,25,36,60,1,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,1,0,0,1,0,0,0,,,,,
ExIt,Random,MonteCarlo,Robust,0.0,0.0,0.0,0,1.0,2000,2,7,14,20,1,6,2,8,2,14,4.29,2.86,1.43,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1 GRAVE,HS Playout,Implicit Minimax,Robust,0.84,0.05,0.865,0,0.5,2000,2,25,36,60,2,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,1,0,0,1,0,0,0,,,,,
McBRAVE,MAST,MonteCarlo,Robust,0.01,0.0,0.01,0,1.0,2000,2,36,34,69,2,1,6,6,6,34,5.47,4.06,1.41,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive Widening,NST,Score Bounded,MaxAvgScore,0.0,0.01,0.005,0,2.0,2000,2,16,25,40,4,1,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1 tuned,NST,MonteCarlo,Robust,0.49,0.0,0.49,0,0.2,2000,2,32,25,56,2,1,5,5,4,25,4.48,4.48,0.0,1,0,0,0,0,0,0,1,0,0,0,,,,,
McGRAVE,MAST,Score Bounded,Robust,0.5,0.0,0.5,0,0.5,2000,2,32,25,56,2,1,5,5,4,25,4.48,4.48,0.0,1,0,0,0,0,0,0,1,0,0,0,,,,,
AG0,MAST,MonteCarlo,MaxAvgScore,0.01,0.0,0.01,0,1.0,2000,2,27,40,66,2,1,10,4,4,40,6.0,3.3,2.7,0,0,0,0,0,0,0,1,0,0,0,,,,,
ExIt,Random,Score Bounded,MaxAvgScore,0.45,0.0,0.45,0,2.0,2000,2,40,37,76,2,1,9,5,10,37,4.54,4.11,0.43,1,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1 GRAVE,NST,Score Bounded,Proportional Exp,0.29,0.0,0.29,0,0.2,2000,2,64,81,144,2,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,1,0,0,0,,,,,
McGRAVE,Random,MonteCarlo,Robust,0.07,0.02,0.08,0,0.5,2000,2,64,100,160,2,1,10,10,16,102,5.76,3.2,2.56,0,0,0,0,0,0,0,1,0,1,0,,,,,
ExIt,MAST,MonteCarlo,Proportional Exp,0.19,0.05,0.215,0,1.0,2000,2,72,90,161,14,1,10,9,4,174,6.78,3.58,3.2,0,0,0,0,0,0,0,1,0,1,0,,,,,
Alpha-Beta,NST,AlphaGo,MaxAvgScore,0.06,0.0,0.06,0,2.0,2000,2,27,40,66,1,1,4,10,4,40,6.0,3.3,2.7,0,0,0,0,1,0,0,1,0,0,0,,,,,
Progressive Bias,NST,MonteCarlo,Robust,0.0,0.0,0.0,0,2.0,2000,2,7,14,20,1,1,2,8,2,14,4.29,2.86,1.43,0,0,0,0,1,0,0,1,0,0,0,,,,,
Noisy AG0,NST,MonteCarlo,MaxAvgScore,0.01,0.0,0.01,0,0.2,2000,2,14,30,96,2,1,7,7,4,30,8.27,6.4,1.87,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive Bias,MAST,Score Bounded,Proportional Exp,0.0,0.0,0.0,0,0.5,2000,2,4,5,8,2,1,3,3,4,5,3.2,3.2,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
AG0,NST,MonteCarlo,Proportional Exp,0.04,0.0,0.04,0,1.0,2000,2,12,23,38,2,3,5,15,5,37,4.87,3.3,1.57,0,0,0,0,0,0,0,1,0,1,0,,,,,
UCB1,MAST,Qualitative,MaxAvgScore,0.37,0.0,0.37,0,2.0,2000,2,8,19,30,2,3,5,9,5,29,4.42,3.16,1.26,0,0,0,0,0,0,0,1,0,1,0,,,,,
